"ID","ResourceID","特效类型","特效环境","上线时间","上传作者","创建时间","md5","Feature","Requirements","systemList","特效原名","特效名称","icon","资源包","分类","提示文案","提示图片","关键词","标记","音乐","挑战","视频","est","业务参数","发布平台版本","黑白名单","下发机型帧率","机型打分","GPU黑白名单","openGL","渠道号","指定国家/地区","儿童模式","App架构黑名单","ByteBench机型名单"
144129003,"7551710348923900426	","专辑特效","正式版","2025-10-27 21:57:56 GMT+8",14762,"2025-10-10 19:41:48 GMT+8","","[]","","",,"理光GRII","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/30a40e02f0d33395249313844ac45113","","","","","","","","","","否","{""background_color"":""#475542"",""unuse_plus_sign_alienation"":true}","
        发布平台:iOS, Android
        ios:
        android:
        mac:
        win:
        web:
        harmony:
        ","","Android: 0-9999, IOS: 0-9999","","","","",,"hide","",""
144129004,"7552821331067146761	","专辑特效","正式版","2025-10-27 22:01:26 GMT+8",14762,"2025-10-10 19:41:48 GMT+8","","[]","","",,"奥林巴斯","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/72ef382917bddc643e58f997da3cab33","","","","","","","","","","否","{""background_color"":""#647645"",""unuse_plus_sign_alienation"":true}","
        发布平台:iOS, Android
        ios:
        android:
        mac:
        win:
        web:
        harmony:
        ","","Android: 0-9999, IOS: 0-9999","","","","",,"hide","",""
144129006,"7551711656322011658	","专辑特效","正式版","2025-10-27 21:59:51 GMT+8",14762,"2025-10-10 19:41:48 GMT+8","","[]","","",,"富士XS10","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/b50864824b3d25391cd464e9316e9f4e","","","","","","","","","","否","{""background_color"":""#536650"",""filterconfig"":"""",""unuse_plus_sign_alienation"":true}","
        发布平台:iOS, Android
        ios:
        android:
        mac:
        win:
        web:
        harmony:
        ","","Android: 0-9999, IOS: 0-9999","","","","",,"hide","",""
144129008,"7555429575086314030	","专辑特效","正式版","2025-10-28 10:51:33 GMT+8",14762,"2025-10-10 19:41:48 GMT+8","","[]","","",,"Pocket3","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/8c12a544ce7526b0f8736fd42fb3597e","","","","","","","","","","否","{""background_color"":""#326499"",""unuse_plus_sign_alienation"":true}","
        发布平台:iOS, Android
        ios:
        android:
        mac:
        win:
        web:
        harmony:
        ","","Android: 0-9999, IOS: 0-9999","","","","",,"hide","",""
144129010,"7552824215196406298	","专辑特效","正式版","2025-10-27 22:03:09 GMT+8",14762,"2025-10-10 19:41:48 GMT+8","","[]","","",,"港式映画","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/bdba3f79baa84ea2f7722557193dd382","","","","","","","","","","否","{""background_color"":""#486065"",""filterconfig"":"""",""unuse_plus_sign_alienation"":true}","
        发布平台:iOS, Android
        ios:
        android:
        mac:
        win:
        web:
        harmony:
        ","","Android: 0-9999, IOS: 0-9999","","","","",,"hide","",""
144129012,"7463018462554624539	","普通特效","正式版","2025-10-23 15:04:53 GMT+8",14762,"2025-10-10 19:41:48 GMT+8","b59d77a438a284cc78a6b6fb701f009e","[""AmazingFeature""]","texture_blit, face, skin_seg","AmazingProEditor,AmazingProRuntime,BehaviorSystem,CameraSystem,EffectNodeSystem,EventSystem,GraphSystem,IEJsEntrySystemScript,ImageRendererSystem,JSAssetSystem,JSScriptSystem,RenderSystem,ScreenTransformSystem,TransformSystem","DQTest","佳能CCD","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/5f1c766d8634c116746a2ed1d02ffe0c","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/b59d77a438a284cc78a6b6fb701f009e","","","","","","","","","否","{""background_color"":""#96a9b8"",""filterconfig"":""{\""resource\"":\""b59d77a438a284cc78a6b6fb701f009e\"",\""items\"":[{\""min\"":0,\""max\"":100,\""value\"":80,\""tag\"":\""Internal_Filter\"",\""name\"":\""Internal_Filter\""}]}"",""unuse_plus_sign_alienation"":true}","
        发布平台:iOS, Android, HarmonyOS
        ios:
        android:
        mac:
        win:
        web:
        harmony:
        ","","Android: 0-9999, IOS: 0-9999","","","3.0 及以上","",,"hide","",""
144129014,"7532787935997858313	","普通特效","正式版","2025-10-27 21:54:39 GMT+8",14762,"2025-10-10 19:41:48 GMT+8","c9a9c9fc5d11ce0e4f525e9801eb71ee","[""AmazingFeature""]","","AmazingProEditor,AmazingProRuntime,BehaviorSystem,CameraSystem,EffectNodeSystem,EventSystem,GraphSystem,IEJsEntrySystemScript,JSAssetSystem,JSScriptSystem,RenderSystem,TransformSystem","6s","iP4s","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/0300ecf9680c3daba7e6ebf83cf21784","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/c9a9c9fc5d11ce0e4f525e9801eb71ee","","","","","","","","","否","{""background_color"":""#cdd7e3"",""filterconfig"":""{\""resource\"":\""c9a9c9fc5d11ce0e4f525e9801eb71ee\"",\""items\"":[{\""min\"":0,\""max\"":100,\""value\"":100,\""tag\"":\""Internal_Filter\"",\""name\"":\""Internal_Filter\""}]}"",""unuse_plus_sign_alienation"":true}","
        发布平台:iOS, Android, HarmonyOS
        ios:
        android:
        mac:
        win:
        web:
        harmony:
        ","","Android: 0-9999, IOS: 0-9999","","","3.0 及以上","",,"hide","",""
144129015,"7552824012120789555	","专辑特效","正式版","2025-10-27 22:03:15 GMT+8",14762,"2025-10-10 19:41:48 GMT+8","","[]","","",,"柯达5219","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/6b601ce5da2fb014ee63c1f7262c52ac","","","","","","","","","","否","{""background_color"":""#d4d2c5"",""unuse_plus_sign_alienation"":true}","
        发布平台:iOS, Android
        ios:
        android:
        mac:
        win:
        web:
        harmony:
        ","","Android: 0-9999, IOS: 0-9999","","","","",,"hide","",""
144129016,"7555429908504121883	","专辑特效","正式版","2025-10-27 22:03:21 GMT+8",14762,"2025-10-10 19:41:48 GMT+8","","[]","","",,"加州日落","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/5642e0cead882c5dc2b05e2ae15268fd","","","","","","","","","","否","{""background_color"":""#e0c79f"",""unuse_plus_sign_alienation"":true}","
        发布平台:iOS, Android
        ios:
        android:
        mac:
        win:
        web:
        harmony:
        ","","Android: 0-9999, IOS: 0-9999","","","","",,"hide","",""
144129017,"7555429760415830578	","专辑特效","正式版","2025-10-27 21:59:30 GMT+8",14762,"2025-10-10 19:41:48 GMT+8","","[]","","",,"Velvia","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/0e21897758001052988d21030ca07684","","","","","","","","","","否","{""background_color"":""#396d92"",""filterconfig"":"""",""unuse_plus_sign_alienation"":true}","
        发布平台:iOS, Android
        ios:
        android:
        mac:
        win:
        web:
        harmony:
        ","","Android: 0-9999, IOS: 0-9999","","","","",,"hide","",""
144129019,"7540935298247561778	","普通特效","正式版","2025-10-27 21:52:03 GMT+8",14762,"2025-10-10 19:41:48 GMT+8","32c2bffc1fcf04afb4b558c01dd29814","[""AmazingFeature""]","blit","AnimSeqSystem,BehaviorSystem,CameraSystem,EventSystem,JSScriptSystem,MeshRendererSystem,TransformSystem","复古搬运","复古DV","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/ec15d9247c009d0aa5fc06203b1a78b3","https://lf3-effectcdn-tos.byteeffecttos.com/obj/ies.fe.effect/32c2bffc1fcf04afb4b558c01dd29814","","","","","","","","","否","{""background_color"":""#c4c9d4"",""filterconfig"":""{\""resource\"":\""32c2bffc1fcf04afb4b558c01dd29814\"",\""items\"":[{\""min\"":0,\""max\"":100,\""value\"":100,\""tag\"":\""Internal_Filter\"",\""name\"":\""Internal_Filter\""}]}"",""unuse_plus_sign_alienation"":true}","
        发布平台:iOS, Android, HarmonyOS
        ios:
        android:
        mac:
        win:
        web:
        harmony:
        ","","Android: 0-9999, IOS: 0-9999","","","","",,"hide","",""
